Nombre;Latitud;Longuitud;
CL-LI-1203;-33,93483;-70,71269;
CL-NB-1118;-36,785222;-72,318806;
CL-VS-1415;-32,85156;-70,91258;
CL-NB-1119;-36,70275;-72,276444;
CL-RM-2114;-33,698722;-71,02565;
CL-NB-1124;-36,84677;-72,0886944;
CL-RM-2186;-33,68075;-70,933444;
CL-RM-2187;-33,705667;-71,003028;
CL-RM-2177;-33,681972;-71,076167;
CL-RM-2178;-33,669944;-71,236194;
CL-RM-2179;-33,652139;-71,309417;
CL-RM-2176;-33,404222;-71,19592;
CL-RM-2174;-33,418306;-71,050583;
CL-RM-2175;-33,398583;-71,228083;
CL-RM-2189;-32,96233;-70,81678;
CL-RM-2173;-33,206083;-70,774028;
CL-RM-2190;-33,105583;-70,835972;
CL-RM-2188;-33,005333;-70,903511;
CL-RM-2182;-33,775067;-70,747131;
CL-RM-2183;-33,898167;-70,735611;
CL-LL-1199;-41,302444;-72,9993055;
CL-LI-1198;-34,50286;-70,918111;
CL-LI-1196;-34,555139;-70,958222;
CL-LI-1182;-34,697;-71,0187777;
CL-LI-1183;-34,813417;-71,056806;
CL-LI-1193;-34,424912;-70,886393;
CL-LI-1192;-34,147306;-70,783472;
CL-LI-1191;-34,18375;-70,793583;
CL-LI-1190;-34,213833;-70,787778;
CL-LI-1195;-34,257778;-70,807583;
CL-LI-1194;-34,32025;-70,8309444;
CL-LI-1188;-33,9635;-70,7075833;
CL-LI-1189;-34,0018611;-70,6976666;
CL-LI-1184;-34,0404166;-70,7028611;
CL-LI-1185;-34,083472;-70,765825;
CL-CO-1256;-30,621722;-71,500722;
CL-CO-1252;-30,352611;-71,4285;
CL-VS-1407;-33,609083;-71,463278;
CL-VS-1400;-33,344244;-71,365097;
CL-VS-1398;-33,284861;-71,426861;
CL-VS-1399;-33,260889;-71,43775;
CL-VS-1403;-32,33961;-71,44719;
CL-VS-1411;-32,594583;-71,245528;
CL-VS-1401;-32,53919;-71,26386;
CL-VS-1404;-32,254306;-71,478306;
CL-ML-1339;-35,246944;-71,978833;
CL-CO-1233;-29,948094;-71,251872;
CL-LL-1230;-40,694167;-72,611694;
CL-ML-1345 ;-34,41274722;-71,125188;
